,probe,probe_type,,,,calib_date,size,naxes,nturns,xarea,yarea,zarea,,notes
,,,,,,mm/dd/yyyy,mm,,,mm^2,mm^2,mm^2,,
Probe Index,Probe name,Probe type,Label,Owner,Last Known Location,Calibration Date,Size (mm),# Axes,# Turns,x-area (mm2),y-area (mm2),z-area (mm2),max linear f responce,Notes
0,PL11B,bdot,PL11B,HEDP,HEDP Upstairs,3/19/2018,1,3,10,1.7,1.6,1.4,,
1,LAPD4,bdot,BDOT 4,LAPD,LAPD Hall,3/19/2018,3,3,10,12,9.01,12.43,,
2,LAPD5,bdot,BDOT 5,LAPD,LAPD Hall,3/19/2018,3,3,10,14.89,16.37,9.89,,
3,LAPD6,bdot,BDOT 6,LAPD,LAPD Hall,3/19/2018,3,3,10,11.39,9.74,13.33,,
4,LAPD7,bdot,BDOT7,LAPD,LAPD Hall,3/19/2018,3,3,10,11.39,10.67,15.17,,
5,LAPD10,bdot,BDOT 10,LAPD,LAPD Hall,3/19/2018,3,3,10,11.44,14.18,9.94,,
6,LAPD11,bdot,BDOT 11,LAPD,LAPD Hall,3/19/2018,3,3,10,10.8,9.89,8.75,,
7,LAPD1,bdot,BDOT 1,LAPD,LAPD Hall,?,3,3,10,11.3,9.24,7.4,,"We calibrated this bdot AFTER the experiment, and found that the alignment mark on it was wrong by ~ 9 degrees. "
8,PL11B+,bdot,PL11B,HEDP,HEDP Upstairs,3/19/2018,1,3,10,1.7,1.6,1.4,,All the plus channels from PL11B: digitized explicitly w/o a diffamp to check a big signal
9,PL11B-,bdot,PL11B,HEDP,HEDP Upstairs,3/19/2018,1,3,10,1.7,1.6,1.4,,All the minus channels from PL11B: digitized explicitly w/o a diffamp to check a big signal